basque,english,context
kimioprofilaxi,chemoprophylaxis,Medical Sciences > Pharmacology
kimioprofilaxi,chemoprofilaxis,Medical Sciences > Microbiology
kimioprofilaxi,chemoprophylaxis,Medical Sciences > Public health
kimu,bud,Life sciences > Microbiology
kimu,chyme,Life sciences > Human physiology
klase,clase,Medical Sciences > Microbiology
klase,class,Mathematics > Algebra
klase,class,Technological Sciences > Computer technology
kloruro,klorure,Medical Sciences > Pharmaceutical Technology
kloruro,clorure,Chemistry > Analytical chemistry
kloruro,chloride,Technological Sciences > Environmental technology and engineering
kodetzaile,encoder,Technological Sciences > Computer technology
kodetzaile,coding strand; non-template strand; sense strand,Life sciences > Biochemistry and Molecular Biology
koko,cocco,Medical Sciences > Pharmacology
koko,cocci,Medical Sciences > Microbiology
koko,cocci,Life sciences > Microbiology
koloratzaile,dye,Life sciences > Biochemistry and Molecular Biology
koloratzaile,colouring,Medical Sciences > Pharmaceutical Technology
koloratzaile,dye,Life sciences > Microbiology
koloratzaile,colorant; colourant; dye,Technological Sciences > Environmental technology and engineering
koloratzaile,colourings,Technological Sciences > Food technology
kommutadore,changeover switch; commutator; selector switch,Technological Sciences > Electrical technology and engineering
kommutadore,switch,Technological Sciences > Computer technology
kommutadore,switch,Technological Sciences > Electronic technology
kommutazio,commutation,Technological Sciences > Electronic technology
kommutazio,change-over switching; changeover switching; commutation; switching,Technological Sciences > Electrical technology and engineering
kommutazio,switching,Technological Sciences > Telecommunications technology
konbekzio-korronte,convective flow,Earth and Space Sciences > Geology
konbekzio-korronte,convection current,Technological Sciences > Environmental technology and engineering
konbinazio,combination,Mathematics > Analysis and functional analysis
konbinazio,join,Technological Sciences > Computer technology
konbinazio,combination,Technological Sciences > Construction technology
konbinazio,combination,Technological Sciences > Environmental technology and engineering
konbinazio,combination,Physics > Electro-magnetism
konbinazio,combination,Mathematics > Algebra
konbinazio-zenbaki,combinatory number,Mathematics > Statistics
konbinazio-zenbaki,binomial coefficient; combinatorial number,Mathematics > Analysis and functional analysis
kondentsadore,condenser,Technological Sciences > Environmental technology and engineering
kondentsadore,condenser,Physics > Optics
kondentsadore,capacitor,Physics > Electro-magnetism
kondentsadore,condenser,Medical Sciences > Pharmaceutical Technology
kondentsadore,capacitor,Technological Sciences > Electrical technology and engineering
kondentsadore,capacitor,Physics > General Physics specialities
kondentsadore,capacitor,Physics > Aplied Physics
kondentsadore,capacitor,Technological Sciences > Electronic technology
konduktibitate termiko,heat conductivity; thermal conductivity,Technological Sciences > Environmental technology and engineering
konduktibitate termiko,termal conductivity,Chemistry > Organic chemistry
konexio-kable,connecting cable,Technological Sciences > Electrical technology and engineering
konexio-kable,conection cable,Physics > Aplied Physics
konformazio,conformation,Technological Sciences > Environmental technology and engineering
konformazio,forming,Technological Sciences > Mechanical engineering and technology
konformazio,conformation,Life sciences > Biochemistry and Molecular Biology
konformazio,conformation,Chemistry > Organic chemistry
konidio,conidium,Life sciences > Microbiology
konidio,conidia,Medical Sciences > Microbiology
konkurrentzia,competition,Economic Sciences > Economic theory
konkurrentzia,competition,Economic Sciences > General economics
konkurrentzia,concurrency,Technological Sciences > Computer technology
kono-enbor,conical frustum,Technological Sciences > Mechanical engineering and technology
kono-enbor,conical frustun; frustum of a cone,Mathematics > Analysis and functional analysis
konpas,compass,Technological Sciences > Mechanical engineering and technology
konpas,drawing compass,Technological Sciences > Industrial technology
konpas,compass,Technological Sciences > Construction technology
konpas,compass; magnetic needle,Technological Sciences > Environmental technology and engineering
konpentsagailu,compensator,Technological Sciences > Electrical technology and engineering
konpentsagailu,compensateur,Technological Sciences > Construction technology
konposatu kimiko,chemical compound,Chemistry > Organic chemistry
konposatu kimiko,chemical,Life sciences > Microbiology
konposatu kimiko,chemical compound,Technological Sciences > Environmental technology and engineering
konposatu kimiko,chemical compound; compound,Chemistry > Physical chemistry
konprimagarritasun-modulu,compressibility modulus,Physics > Thermodynamics
konprimagarritasun-modulu,compressibility modulus,Physics > General Physics specialities
konprimagarritasun-modulu,bulk modulus,Physics > Electro-magnetism
konstante zinetiko,rate constant; rate-constant,Chemistry > Physical chemistry
konstante zinetiko,kinetic constant,Technological Sciences > Environmental technology and engineering
kontabilitate,accounting; book-keeping,Economic Sciences > Organization and management of enterprises
kontabilitate,accounting,Economic Sciences > General economics
kontagailu,electric meter; energy meter,Technological Sciences > Electrical technology and engineering
kontagailu,counter,Medical Sciences > Pharmaceutical Technology
kontagailu,counter,Technological Sciences > Environmental technology and engineering
kontagailu,counter,Technological Sciences > Computer technology
kontagailu,dropper,Chemistry > Physical chemistry
kontraste,test,Economic Sciences > Econometrics
kontraste,contrast,Life sciences > Cell biology
kontraste,contrast,Medical Sciences > Medical diagnostic and Treatment Technology
kontraste,contrast,Medical Sciences > Pharmacology
kontratazio,engagement,Technological Sciences > Projects
kontratazio,hiring,Economic Sciences > Organization and management of enterprises
kontrolagailu,controller,Technological Sciences > Computer technology
kontrolagailu,controller,Technological Sciences > Instrumentation technology
kontrolagailu,control device,Technological Sciences > Electrical technology and engineering
kontserbazio-lege,conservation law,Technological Sciences > Environmental technology and engineering
kontserbazio-lege,conservation law,Physics > Aplied Physics
kontserbazio-lege,conservation law; law of conservation,Physics > Electro-magnetism
kontserbazio-lege,conservation law,Physics > General Physics specialities
kontserbazio-lege,conservation law,Physics > Mechanics
kontserbazio-lege,conservation rule,Physics > Theoretical physics
kontsulta,consultation; query,Technological Sciences > Computer technology
kontsulta,appointment; medical office,Medical Sciences > Pharmacology
koordenatu-jatorri,origin of coordinates; point of origin,Physics > Aplied Physics
koordenatu-jatorri,coordinate origin; origin,Technological Sciences > Industrial technology
koordenatu-jatorri,coordinate origin; origin; origin of coordinates,Mathematics > Analysis and functional analysis
koordenatu-jatorri,origin of coordinates,Physics > Electro-magnetism
korapilo,node,Technological Sciences > Electronic technology
korapilo,node,Technological Sciences > Electrical technology and engineering
korapilo,knot,Earth and Space Sciences > Metereology and Oceanography
korapilo,knot; panel point,Technological Sciences > Construction technology
korapilo,knot,Physics > General Physics specialities
korapiloen metodo,branch current method; nodal analysis; node-voltage analysis,Technological Sciences > Electronic technology
korapiloen metodo,node method; node-voltage method,Technological Sciences > Electrical technology and engineering
korapiloen metodo,panel point method,Technological Sciences > Construction technology
kordoi,cord,Technological Sciences > Electrical technology and engineering
kordoi,bead; chord; weld bead,Technological Sciences > Construction technology
korronte-intentsitate,current intensity; intensity of current,Physics > Electro-magnetism
korronte-intentsitate,current,Physics > Aplied Physics
korronte-intentsitate,amperage; current; current intensity; intensity,Technological Sciences > Electrical technology and engineering
korronte-iturri,source of current,Physics > Electro-magnetism
korronte-iturri,current source,Technological Sciences > Electrical technology and engineering
kota,dimension,Technological Sciences > Projects
kota,elevation; height of a point,Physics > Fluids (physics of)
kota,height,Earth and Space Sciences > Geology
kota,bound,Economic Sciences > Econometrics
kota,dimension; size on a drawing,Technological Sciences > Industrial technology
kotatu,show dimension; show height,Technological Sciences > Industrial technology
kotatu,dimension,Technological Sciences > Mechanical engineering and technology
krisi,crisis,Economic Sciences > General economics
krisi,attack,Medical Sciences > Pharmacology
krisialdi,attack,Medical Sciences > Pharmacology
krisialdi,crisis,Economic Sciences > General economics
kristal-egitura,crystal structure,Physics > General Physics specialities
kristal-egitura,crystalline structure,Technological Sciences > Environmental technology and engineering
kronograma,time diagram; timetable,Economic Sciences > Organization and management of enterprises
kronograma,schedule,Technological Sciences > Projects
kronograma,chronogram; time table,Technological Sciences > Environmental technology and engineering
kronograma,chronogram; timing chart,Technological Sciences > Computer technology
kuantifikazio,quantization,Technological Sciences > Telecommunications technology
kuantifikazio,quantification,Chemistry > Analytical chemistry
kuantifikazio,quantification,Medical Sciences > Pharmacology
kuantifikazio,quantification,Life sciences > Microbiology
kuantifikazio,quantification,Life sciences > Cell biology
kubeta,cuvette,Life sciences > Biochemistry and Molecular Biology
